gse_id,gpl_id,repo_id
GSE182623,GPL23159,9
GSE182619,GPL570,9
GSE182576,GPL20844,9
GSE181574,GPL20078,9
GSE181574,GPL30493,9
GSE180962,GPL16233,9
GSE180962,GPL20078,9
GSE176373,GPL23126,9
GSE166906,GPL24247,9
GSE166906,GPL16570,9
GSE166906,GPL23159,9
GSE166810,GPL23159,9
GSE166809,GPL16570,9
GSE162823,GPL1355,9
GSE145131,GPL1261,9
GSE139163,GPL6244,9
GSE139163,GPL6246,9
GSE139163,GPL19057,9
GSE139162,GPL6246,9
GSE139155,GPL6244,9
GSE127954,GPL20775,9
