GSE_ID,GPL_ID
GSE66848,GPL13112
GSE66851,GPL6244
GSE66853,GPL570
GSE66854,GPL570
GSE66858,GPL17543
GSE66862,GPL6246
GSE66870,GPL13112
GSE66874,GPL11533
GSE66876,GPL16791
GSE66880,GPL18802
GSE66886,GPL4133
GSE66887,GPL4133
GSE6690,GPL81
GSE66904,GPL13607
GSE66916,GPL10333
GSE66917,GPL11154
GSE66921,GPL13607
GSE66927,GPL11154
GSE66928,GPL11154
GSE66931,GPL17021
GSE66934,GPL6887
GSE66936,GPL570
GSE66944,GPL6246
GSE66948,GPL17889
GSE66949,GPL17889
GSE6695,GPL570
GSE66954,GPL13112
GSE66957,GPL15048
GSE66962,GPL11154
GSE66963,GPL1261
GSE66969,GPL13497
GSE66971,GPL13912
GSE66972,GPL10558
GSE66978,GPL13112
GSE66981,GPL6887
GSE67000,GPL16699
GSE67002,GPL17996
GSE67009,GPL13112
GSE67011,GPL6887
GSE67015,GPL13112
GSE67019,GPL10558
GSE67036,GPL17117
GSE67037,GPL6885
GSE67039,GPL11154
GSE67049,GPL4134
GSE67051,GPL570
GSE67060,GPL571
GSE67061,GPL17077
GSE67069,GPL18813
GSE67071,GPL13112
GSE67072,GPL6246
GSE67073,GPL11154
GSE67081,GPL1261
GSE67087,GPL1261
GSE67089,GPL13667
GSE67093,GPL10558
GSE67098,GPL570
GSE6711,GPL1708
GSE67112,GPL13112
GSE67113,GPL17021
GSE67124,GPL17301
GSE67128,GPL18460
GSE67133,GPL13112
GSE67135,GPL13112
GSE67137,GPL6885
GSE67141,GPL16791
GSE67142,GPL6480
GSE67146,GPL6247
GSE67147,GPL11180
GSE67152,GPL10558
GSE67154,GPL10558
GSE67158,GPL16570
GSE67169,GPL9250
GSE67171,GPL16417
GSE67172,GPL17400
GSE67175,GPL14746
GSE67178,GPL6246
GSE67182,GPL1261
GSE67193,GPL17077
GSE67195,GPL15106
GSE67199,GPL11202
GSE67207,GPL13112
GSE6721,GPL339
GSE67219,GPL16686
GSE67229,GPL6887
GSE67238,GPL4134
GSE67239,GPL16570
GSE67250,GPL11154
GSE67254,GPL10333
GSE67274,GPL14746
GSE67279,GPL6244
GSE67290,GPL16570
GSE67291,GPL17021
GSE67294,GPL13112
GSE67300,GPL6887
GSE67301,GPL570
GSE67305,GPL17021
GSE67306,GPL6246
GSE67308,GPL7202
GSE67320,GPL1261
