GSE_ID,GPL_ID
GSE97003,GPL16791
GSE97009,GPL18573
GSE97013,GPL19057
GSE97021,GPL19057
GSE97027,GPL21103
GSE97028,GPL10332
GSE97030,GPL10332
GSE97031,GPL10332
GSE97032,GPL17021
GSE97035,GPL11180
GSE97037,GPL19057
GSE97038,GPL11154
GSE97040,GPL14746
GSE97041,GPL11154
GSE97048,GPL6246
GSE97053,GPL16791
GSE97060,GPL17021
GSE97064,GPL17586
GSE97073,GPL4134
GSE97074,GPL6885
GSE97078,GPL19057
GSE97083,GPL4135
GSE97087,GPL17543
GSE97089,GPL20775
GSE97100,GPL16791
GSE97115,GPL13112
GSE97124,GPL15207
GSE97126,GPL17021
GSE97132,GPL11533
GSE97133,GPL11533
GSE97140,GPL15456
GSE97141,GPL11002
GSE97142,GPL18573
GSE97145,GPL6887
GSE97148,GPL19057
GSE97150,GPL1261
GSE97152,GPL6246
GSE97156,GPL20301
GSE97163,GPL6244
GSE97165,GPL11154
GSE97167,GPL13112
GSE97168,GPL18573
GSE97169,GPL6244
GSE9717,GPL1261
GSE97170,GPL6246
GSE97172,GPL6244
GSE97180,GPL7042
GSE97181,GPL19057
GSE97185,GPL570
GSE97196,GPL21103
GSE97199,GPL14550
GSE97209,GPL16570
GSE97213,GPL13112
GSE97215,GPL11154
GSE97217,GPL15207
GSE97223,GPL13112
GSE97224,GPL11154
GSE97232,GPL17021
GSE97234,GPL13112
GSE97235,GPL13112
GSE97236,GPL15207
GSE97239,GPL11154
GSE97241,GPL20775
GSE97242,GPL16570
GSE97244,GPL23244
GSE97248,GPL14550
GSE97249,GPL17021
GSE9726,GPL4234
GSE97262,GPL16791
GSE97268,GPL10558
GSE97269,GPL16570
GSE97270,GPL17021
GSE97271,GPL16570
GSE97279,GPL10558
GSE97281,GPL19057
GSE97287,GPL10558
GSE973,GPL96
GSE97302,GPL13112
GSE97314,GPL13912
GSE97315,GPL10333
GSE97320,GPL570
GSE97321,GPL13112
GSE97337,GPL17400
GSE9734,GPL4742
GSE97340,GPL10333
GSE97347,GPL10558
GSE97349,GPL10558
GSE97352,GPL16791
GSE97356,GPL11154
GSE97359,GPL13692
GSE97366,GPL6885
GSE97367,GPL16791
GSE97375,GPL17021
GSE97376,GPL22396
GSE97380,GPL13112
GSE97384,GPL11154
GSE97388,GPL16791
GSE97389,GPL17021
GSE97390,GPL17021
GSE97393,GPL16686
