GSE_ID,GPL_ID
GSE66439,GPL570
GSE66446,GPL11154
GSE66449,GPL570
GSE66451,GPL16570
GSE66453,GPL16570
GSE66455,GPL10558
GSE66470,GPL17077
GSE66473,GPL570
GSE66475,GPL10558
GSE66478,GPL11154
GSE66479,GPL16570
GSE66488,GPL10558
GSE66489,GPL10558
GSE66494,GPL6480
GSE66506,GPL11154
GSE66507,GPL11154
GSE66512,GPL570
GSE6652,GPL2881
GSE66523,GPL13112
GSE66527,GPL6480
GSE66531,GPL6246
GSE66532,GPL17555
GSE66533,GPL570
GSE66538,GPL6246
GSE66539,GPL11154
GSE66545,GPL6480
GSE66547,GPL9250
GSE66551,GPL17021
GSE66556,GPL16791
GSE66563,GPL17586
GSE66566,GPL18694
GSE66567,GPL13112
GSE66573,GPL16791
GSE66575,GPL9185
GSE66576,GPL16570
GSE66583,GPL6246
GSE66586,GPL6244
GSE66590,GPL16791
GSE66592,GPL16791
GSE66593,GPL15456
GSE66596,GPL5175
GSE66598,GPL6885
GSE66606,GPL6244
GSE66614,GPL10558
GSE66619,GPL13112
GSE66625,GPL16951
GSE66626,GPL4133
GSE66627,GPL11154
GSE66632,GPL11154
GSE66633,GPL17378
GSE66634,GPL15103
GSE66636,GPL17586
GSE66638,GPL6244
GSE66644,GPL6246
GSE66662,GPL10558
GSE66663,GPL10558
GSE66670,GPL16686
GSE66671,GPL16686
GSE66673,GPL13607
GSE66674,GPL10333
GSE66679,GPL17021
GSE66686,GPL13112
GSE66687,GPL6887
GSE66698,GPL570
GSE66715,GPL14844
GSE66716,GPL17021
GSE66717,GPL6246
GSE66720,GPL570
GSE66721,GPL1261
GSE66723,GPL11532
GSE66724,GPL570
GSE66726,GPL15034
GSE66730,GPL1261
GSE66734,GPL17021
GSE66738,GPL1261
GSE66742,GPL16791
GSE66751,GPL11202
GSE66755,GPL16791
GSE66759,GPL14550
GSE66763,GPL16791
GSE66766,GPL1261
GSE66767,GPL11154
GSE66777,GPL11154
GSE66781,GPL13112
GSE66785,GPL570
GSE66787,GPL11532
GSE66789,GPL11154
GSE6679,GPL570
GSE66792,GPL19883
GSE66795,GPL10558
GSE66805,GPL10558
GSE6681,GPL1261
GSE66814,GPL17021
GSE66817,GPL13112
GSE66822,GPL18635
GSE66824,GPL13158
GSE66828,GPL17021
GSE66837,GPL570
GSE66838,GPL6885
GSE66840,GPL570
