"GSE_ID","GPL_ID"
"GSE20036","GPL570"
"GSE20037","GPL1355"
"GSE20045","GPL6602"
"GSE20048","GPL6887"
"GSE20050","GPL1352"
"GSE20051","GPL571"
"GSE20054","GPL1261"
"GSE2006","GPL96"
"GSE20060","GPL3921"
"GSE20062","GPL1708"
"GSE20065","GPL1261"
"GSE20076","GPL6884"
"GSE20086","GPL570"
"GSE20091","GPL9988"
"GSE20097","GPL8321"
"GSE20101","GPL6096"
"GSE20103","GPL6096"
"GSE20114","GPL570"
"GSE20129","GPL10558"
"GSE20141","GPL570"
"GSE20146","GPL570"
"GSE20151","GPL96"
"GSE20153","GPL570"
"GSE20157","GPL1261"
"GSE20158","GPL6102"
"GSE20159","GPL6947"
"GSE20161","GPL6102"
"GSE20162","GPL6480"
"GSE20163","GPL96"
"GSE20168","GPL96"
"GSE20178","GPL4134"
"GSE20180","GPL6096"
"GSE20191","GPL1708"
"GSE20196","GPL570"
"GSE20208","GPL4134"
"GSE20209","GPL4134"
"GSE20211","GPL570"
"GSE20229","GPL8300"
"GSE20235","GPL1261"
"GSE20262","GPL96"
"GSE20264","GPL571"
"GSE20265","GPL6103"
"GSE20266","GPL570"
"GSE20282","GPL339"
"GSE20285","GPL570"
"GSE20291","GPL96"
"GSE20292","GPL96"
"GSE20293","GPL6848"
"GSE20297","GPL570"
"GSE20299","GPL8759"
"GSE20300","GPL570"
"GSE20301","GPL9115"
"GSE20316","GPL1261"
"GSE20318","GPL570"
"GSE20319","GPL6884"
"GSE20325","GPL1261"
"GSE20342","GPL5175"
"GSE20344","GPL1355"
"GSE20347","GPL571"
"GSE2035","GPL1708"
"GSE20350","GPL1708"
"GSE20352","GPL1261"
"GSE20358","GPL1355"
"GSE20372","GPL1261"
"GSE20375","GPL8597"
"GSE20381","GPL6947"
"GSE20390","GPL1261"
"GSE20405","GPL570"
"GSE20407","GPL6885"
"GSE20415","GPL4134"
"GSE20437","GPL96"
"GSE2044","GPL8300"
"GSE20466","GPL1261"
"GSE20469","GPL571"
"GSE20484","GPL570"
"GSE20503","GPL6103"
"GSE20506","GPL4133"
"GSE20508","GPL570"
"GSE20510","GPL96"
"GSE20514","GPL1261"
"GSE20519","GPL1261"
"GSE20528","GPL2877"
"GSE20536","GPL6884"
"GSE20538","GPL570"
"GSE20544","GPL6244"
"GSE20550","GPL10112"
"GSE20563","GPL6480"
"GSE20565","GPL6801"
"GSE20570","GPL1261"
"GSE20571","GPL6244"
"GSE20573","GPL6102"
"GSE20575","GPL1261"
"GSE20581","GPL6244"
"GSE20583","GPL4055"
"GSE20596","GPL6244"
"GSE20597","GPL6947"
"GSE20598","GPL6603"
"GSE20602","GPL96"
"GSE20607","GPL5175"
"GSE20613","GPL6102"
