"GSE_ID","GPL_ID"
"GSE115729","GPL13112"
"GSE115732","GPL18480"
"GSE115737","GPL11154"
"GSE115738","GPL17077"
"GSE115739","GPL13112"
"GSE115740","GPL13112"
"GSE115743","GPL13112"
"GSE11575","GPL4372"
"GSE115754","GPL6246"
"GSE115757","GPL16570"
"GSE115758","GPL19057"
"GSE115763","GPL20301"
"GSE115766","GPL17021"
"GSE115769","GPL13112"
"GSE11578","GPL571"
"GSE115789","GPL21290"
"GSE1158","GPL96"
"GSE115800","GPL20844"
"GSE115801","GPL20844"
"GSE115810","GPL96"
"GSE115818","GPL17021"
"GSE115827","GPL18573"
"GSE11583","GPL2986"
"GSE115831","GPL20795"
"GSE11584","GPL2872"
"GSE115844","GPL20775"
"GSE115849","GPL18573"
"GSE115854","GPL21185"
"GSE115855","GPL13497"
"GSE115858","GPL17021"
"GSE115859","GPL17021"
"GSE11586","GPL81"
"GSE115861","GPL18573"
"GSE115866","GPL17117"
"GSE115867","GPL16791"
"GSE11589","GPL1261"
"GSE115900","GPL17021"
"GSE115903","GPL17021"
"GSE115909","GPL20844"
"GSE11591","GPL1261"
"GSE115919","GPL17021"
"GSE115922","GPL15207"
"GSE115934","GPL15103"
"GSE115937","GPL18573"
"GSE115938","GPL20301"
"GSE115941","GPL18573"
"GSE115943","GPL21273"
"GSE115944","GPL20258"
"GSE115947","GPL570"
"GSE115948","GPL6246"
"GSE115950","GPL17021"
"GSE115952","GPL17021"
"GSE115960","GPL16791"
"GSE115969","GPL18573"
"GSE115971","GPL1261"
"GSE116000","GPL10332"
"GSE116009","GPL17021"
"GSE116010","GPL17021"
"GSE116012","GPL17586"
"GSE116014","GPL10558"
"GSE116023","GPL21185"
"GSE116028","GPL6480"
"GSE116030","GPL19057"
"GSE116055","GPL15207"
"GSE116061","GPL24676"
"GSE116062","GPL17791"
"GSE116087","GPL18573"
"GSE116096","GPL17021"
"GSE116114","GPL18573"
"GSE116118","GPL6480"
"GSE116124","GPL11154"
"GSE116128","GPL17021"
"GSE116129","GPL16791"
"GSE116131","GPL20301"
"GSE116133","GPL18573"
"GSE116140","GPL17021"
"GSE116149","GPL10558"
"GSE116159","GPL22245"
"GSE116162","GPL20844"
"GSE116166","GPL20795"
"GSE116168","GPL20844"
"GSE116172","GPL16791"
"GSE116176","GPL21185"
"GSE11618","GPL570"
"GSE116183","GPL15207"
"GSE116225","GPL17021"
"GSE116226","GPL21626"
"GSE116230","GPL19057"
"GSE116234","GPL21103"
"GSE116239","GPL21493"
"GSE116241","GPL18573"
"GSE116242","GPL17021"
"GSE116243","GPL16791"
"GSE116250","GPL16791"
"GSE116256","GPL18573"
"GSE11626","GPL570"
"GSE116276","GPL16686"
"GSE116283","GPL11154"
"GSE116286","GPL17021"
"GSE116289","GPL15088"
