GSE_ID,GPL_ID
GSE21845,GPL4134
GSE21855,GPL4134
GSE21859,GPL6103
GSE21863,GPL1261
GSE21866,GPL201
GSE21877,GPL6105
GSE21886,GPL4133
GSE21887,GPL570
GSE21899,GPL571
GSE21905,GPL1261
GSE2191,GPL8300
GSE21924,GPL6246
GSE21942,GPL570
GSE21944,GPL1261
GSE21947,GPL96
GSE21949,GPL6246
GSE21954,GPL7042
GSE21965,GPL6246
GSE2197,GPL1261
GSE21971,GPL6096
GSE21976,GPL7020
GSE21979,GPL570
GSE21980,GPL6947
GSE21987,GPL96
GSE21994,GPL6096
GSE22001,GPL9250
GSE22010,GPL6244
GSE22012,GPL6480
GSE22013,GPL7020
GSE22020,GPL1261
GSE22029,GPL201
GSE22030,GPL4133
GSE22035,GPL570
GSE22045,GPL570
GSE22046,GPL1261
GSE22049,GPL885
GSE22058,GPL10457
GSE22064,GPL6244
GSE22070,GPL6947
GSE22072,GPL6480
GSE22073,GPL1261
GSE22074,GPL6947
GSE22081,GPL1261
GSE22086,GPL1261
GSE22087,GPL1261
GSE22088,GPL6480
GSE22096,GPL6247
GSE22097,GPL1352
GSE22103,GPL570
GSE22106,GPL570
GSE22125,GPL1261
GSE22137,GPL8321
GSE22142,GPL6244
GSE22148,GPL570
GSE22149,GPL7884
GSE2215,GPL96
GSE22152,GPL570
GSE22169,GPL10487
GSE22196,GPL6246
GSE2220,GPL1832
GSE22206,GPL6104
GSE22212,GPL6102
GSE22213,GPL6947
GSE22218,GPL4135
GSE2222,GPL96
GSE22223,GPL8321
GSE22229,GPL570
GSE22242,GPL570
GSE22248,GPL6883
GSE22253,GPL6244
GSE22259,GPL570
GSE22260,GPL9115
GSE22282,GPL570
GSE22288,GPL6244
GSE22293,GPL10526
GSE22310,GPL8321
GSE22313,GPL1261
GSE22323,GPL4133
GSE22334,GPL570
GSE22336,GPL570
GSE22338,GPL6246
GSE22341,GPL6885
GSE22356,GPL570
GSE22362,GPL8321
GSE22366,GPL3921
GSE22367,GPL3921
GSE22372,GPL1456
GSE22373,GPL570
GSE22377,GPL570
GSE22382,GPL571
GSE22385,GPL571
GSE22400,GPL6102
GSE22415,GPL6244
GSE22416,GPL6246
GSE22417,GPL8321
GSE22427,GPL10558
GSE22429,GPL8971
GSE22433,GPL6947
GSE22443,GPL6246
GSE22456,GPL1355
