GSE_ID,GPL_ID
GSE63607,GPL10558
GSE63608,GPL11154
GSE63609,GPL11154
GSE63612,GPL15207
GSE63615,GPL15523
GSE63616,GPL6480
GSE63619,GPL6887
GSE63621,GPL11002
GSE63624,GPL5175
GSE63625,GPL11180
GSE63631,GPL6887
GSE63643,GPL6885
GSE63646,GPL16791
GSE63647,GPL13112
GSE63651,GPL14797
GSE63653,GPL1261
GSE63659,GPL13667
GSE63664,GPL570
GSE63665,GPL16686
GSE63667,GPL4133
GSE63673,GPL6096
GSE63679,GPL13112
GSE63684,GPL6246
GSE63685,GPL14951
GSE63687,GPL6887
GSE63700,GPL11154
GSE63702,GPL13912
GSE63703,GPL11154
GSE63721,GPL11154
GSE63723,GPL6246
GSE63724,GPL6246
GSE63726,GPL6101
GSE63730,GPL4134
GSE63733,GPL11154
GSE63734,GPL16791
GSE63738,GPL16791
GSE63739,GPL1261
GSE63744,GPL18460
GSE63746,GPL10558
GSE63748,GPL9250
GSE63751,GPL13112
GSE63754,GPL17077
GSE63755,GPL16791
GSE63759,GPL1261
GSE6376,GPL1261
GSE63761,GPL6885
GSE63764,GPL11154
GSE63767,GPL6246
GSE63776,GPL11154
GSE63782,GPL11154
GSE63786,GPL7202
GSE63793,GPL1261
GSE63794,GPL17021
GSE63796,GPL11002
GSE63804,GPL17021
GSE63807,GPL16791
GSE63809,GPL13112
GSE6381,GPL96
GSE63810,GPL17021
GSE63812,GPL18943
GSE63815,GPL1261
GSE63816,GPL11154
GSE63820,GPL11002
GSE63825,GPL1261
GSE63827,GPL6887
GSE63829,GPL6887
GSE63830,GPL16570
GSE63836,GPL17021
GSE63840,GPL11154
GSE63844,GPL6480
GSE63848,GPL1261
GSE63852,GPL4134
GSE63853,GPL13112
GSE63857,GPL13112
GSE63862,GPL570
GSE63863,GPL11154
GSE63870,GPL17077
GSE63875,GPL6246
GSE63878,GPL6244
GSE63889,GPL13112
GSE63896,GPL6867
GSE63903,GPL10558
GSE63906,GPL1261
GSE63937,GPL570
GSE63939,GPL6246
GSE63948,GPL17021
GSE63950,GPL11154
GSE63953,GPL11154
GSE63961,GPL16417
GSE63962,GPL13607
GSE63963,GPL17586
GSE63968,GPL19057
GSE63983,GPL16570
GSE63990,GPL571
GSE63992,GPL10558
GSE63996,GPL1261
GSE63997,GPL1261
GSE63998,GPL1261
GSE6400,GPL570
GSE64002,GPL13112
