"GSE_ID","GPL_ID"
"GSE31469","GPL570"
"GSE31470","GPL570"
"GSE31473","GPL570"
"GSE31474","GPL570"
"GSE31475","GPL570"
"GSE31524","GPL1261"
"GSE31533","GPL4134"
"GSE31545","GPL570"
"GSE3155","GPL1426"
"GSE31555","GPL11002"
"GSE31559","GPL15572"
"GSE31560","GPL6885"
"GSE31562","GPL6246"
"GSE31566","GPL6480"
"GSE31570","GPL11002"
"GSE31581","GPL7202"
"GSE31582","GPL7202"
"GSE31583","GPL7202"
"GSE31606","GPL7202"
"GSE31607","GPL6887"
"GSE3161","GPL2640"
"GSE31612","GPL6480"
"GSE31614","GPL9115"
"GSE31620","GPL14184"
"GSE31624","GPL1261"
"GSE31625","GPL96"
"GSE31635","GPL14187"
"GSE31643","GPL1261"
"GSE31647","GPL6885"
"GSE3165","GPL887"
"GSE31665","GPL5175"
"GSE31668","GPL1355"
"GSE31679","GPL6947"
"GSE31681","GPL570"
"GSE31682","GPL2986"
"GSE31687","GPL13252"
"GSE31697","GPL6480"
"GSE31699","GPL6947"
"GSE31704","GPL10558"
"GSE31714","GPL1261"
"GSE31719","GPL6244"
"GSE31720","GPL6244"
"GSE31726","GPL1261"
"GSE31735","GPL570"
"GSE31736","GPL6247"
"GSE31746","GPL5770"
"GSE31747","GPL8300"
"GSE31751","GPL13497"
"GSE31752","GPL1261"
"GSE31771","GPL6246"
"GSE31772","GPL6883"
"GSE3178","GPL885"
"GSE31784","GPL6246"
"GSE31786","GPL6246"
"GSE31787","GPL570"
"GSE31797","GPL1261"
"GSE31799","GPL14189"
"GSE31802","GPL4133"
"GSE3181","GPL1261"
"GSE31810","GPL10558"
"GSE31811","GPL6480"
"GSE31812","GPL6244"
"GSE31821","GPL570"
"GSE31822","GPL13912"
"GSE31839","GPL11002"
"GSE3185","GPL8300"
"GSE31866","GPL570"
"GSE31868","GPL13824"
"GSE31869","GPL13667"
"GSE31879","GPL13118"
"GSE3188","GPL570"
"GSE3189","GPL96"
"GSE31909","GPL10558"
"GSE31945","GPL1261"
"GSE31954","GPL8321"
"GSE31955","GPL6096"
"GSE31957","GPL6096"
"GSE31965","GPL4133"
"GSE31972","GPL1261"
"GSE31973","GPL1355"
"GSE31980","GPL570"
"GSE31985","GPL6246"
"GSE31986","GPL6244"
"GSE32008","GPL6244"
"GSE3202","GPL570"
"GSE32026","GPL4133"
"GSE32029","GPL6947"
"GSE32056","GPL570"
"GSE32057","GPL570"
"GSE32060","GPL13112"
"GSE32063","GPL6480"
"GSE32090","GPL1261"
"GSE32093","GPL1261"
"GSE32096","GPL7202"
"GSE32103","GPL1261"
"GSE32104","GPL571"
"GSE32108","GPL570"
"GSE32121","GPL6885"
"GSE32129","GPL6246"
"GSE32134","GPL13938"
