GSE_ID,GPL_ID
GSE108565,GPL16025
GSE108569,GPL17021
GSE108575,GPL17021
GSE108595,GPL6246
GSE108601,GPL11154
GSE108607,GPL570
GSE108611,GPL17021
GSE108614,GPL13112
GSE108621,GPL21697
GSE108624,GPL17021
GSE108626,GPL6884
GSE10863,GPL4133
GSE108638,GPL11154
GSE10864,GPL4133
GSE108649,GPL10558
GSE10865,GPL891
GSE108656,GPL10558
GSE108658,GPL21103
GSE108660,GPL19612
GSE108662,GPL17021
GSE108669,GPL16570
GSE10867,GPL96
GSE108670,GPL16570
GSE108672,GPL13112
GSE108674,GPL16686
GSE108675,GPL19057
GSE108678,GPL17021
GSE108682,GPL16686
GSE108694,GPL16791
GSE108699,GPL18573
GSE108714,GPL571
GSE108717,GPL21273
GSE108729,GPL4134
GSE108739,GPL17021
GSE108742,GPL6480
GSE108749,GPL11154
GSE108754,GPL13497
GSE108763,GPL18573
GSE108771,GPL6244
GSE108775,GPL19057
GSE108789,GPL19057
GSE108794,GPL21493
GSE108797,GPL21493
GSE108798,GPL21493
GSE108810,GPL570
GSE108811,GPL19057
GSE108823,GPL18694
GSE108825,GPL10333
GSE108826,GPL13912
GSE108828,GPL17021
GSE108835,GPL16686
GSE108836,GPL13112
GSE10884,GPL1390
GSE108843,GPL6246
GSE108844,GPL19057
GSE10885,GPL887
GSE108853,GPL570
GSE108854,GPL18573
GSE10886,GPL1390
GSE108861,GPL16570
GSE108863,GPL16791
GSE108864,GPL17021
GSE108868,GPL16686
GSE108872,GPL17021
GSE108875,GPL6246
GSE108883,GPL18573
GSE108884,GPL17021
GSE108894,GPL16686
GSE108895,GPL10558
GSE108896,GPL21103
GSE108897,GPL5175
GSE108904,GPL19271
GSE108905,GPL18573
GSE108907,GPL18573
GSE108914,GPL16043
GSE108919,GPL16791
GSE108923,GPL11154
GSE108928,GPL11154
GSE108933,GPL20301
GSE108938,GPL15520
GSE108943,GPL6246
GSE108947,GPL13497
GSE108954,GPL6246
GSE108955,GPL1261
GSE108956,GPL1261
GSE108958,GPL17930
GSE108965,GPL18694
GSE108971,GPL11154
GSE108975,GPL17021
GSE108988,GPL16686
GSE10899,GPL6602
GSE108993,GPL17021
GSE108995,GPL21400
GSE108998,GPL6244
GSE10900,GPL5137
GSE109001,GPL18573
GSE109002,GPL19057
GSE109003,GPL16791
GSE109012,GPL17021
GSE109013,GPL15084
