GSE_ID,GPL_ID
GSE73336,GPL15103
GSE73341,GPL6244
GSE73344,GPL17400
GSE73378,GPL10558
GSE73381,GPL17021
GSE73384,GPL6887
GSE73385,GPL17586
GSE73388,GPL17586
GSE73395,GPL570
GSE73396,GPL20103
GSE73410,GPL13607
GSE73413,GPL9250
GSE73417,GPL13497
GSE73433,GPL16791
GSE73436,GPL17021
GSE73438,GPL13112
GSE73446,GPL16570
GSE73447,GPL9185
GSE73452,GPL19824
GSE73456,GPL13667
GSE73457,GPL13112
GSE73458,GPL16791
GSE73462,GPL6947
GSE73463,GPL10558
GSE73466,GPL1261
GSE73469,GPL571
GSE73470,GPL16791
GSE73471,GPL16791
GSE7348,GPL1261
GSE73484,GPL1261
GSE73486,GPL17077
GSE73489,GPL16570
GSE73504,GPL17692
GSE73506,GPL17400
GSE73512,GPL15207
GSE73524,GPL11202
GSE73525,GPL6244
GSE73529,GPL16570
GSE73532,GPL13112
GSE73533,GPL6246
GSE73537,GPL570
GSE73539,GPL8321
GSE73541,GPL17021
GSE73543,GPL13381
GSE73544,GPL1261
GSE73546,GPL570
GSE73550,GPL571
GSE73551,GPL20967
GSE73552,GPL17021
GSE73555,GPL17303
GSE73556,GPL4133
GSE73557,GPL6885
GSE73559,GPL17021
GSE73560,GPL17021
GSE73561,GPL17021
GSE73562,GPL17021
GSE73565,GPL11154
GSE73567,GPL7202
GSE73570,GPL11154
GSE73571,GPL6244
GSE73573,GPL11154
GSE73585,GPL570
GSE73587,GPL16570
GSE73599,GPL6244
GSE73601,GPL6480
GSE73604,GPL18469
GSE73608,GPL96
GSE73610,GPL10999
GSE73612,GPL7202
GSE73613,GPL570
GSE73619,GPL6887
GSE73629,GPL14550
GSE73632,GPL17303
GSE73634,GPL16686
GSE73642,GPL7202
GSE73649,GPL1261
GSE73650,GPL16686
GSE73651,GPL10558
GSE73652,GPL10558
GSE73654,GPL10183
GSE73656,GPL6480
GSE73658,GPL16570
GSE73659,GPL7202
GSE73662,GPL10558
GSE73666,GPL16570
GSE73667,GPL16570
GSE73677,GPL6246
GSE73678,GPL16791
GSE73683,GPL6244
GSE73686,GPL16570
GSE73697,GPL13112
GSE73704,GPL6885
GSE73705,GPL17791
GSE73708,GPL11154
GSE73709,GPL1261
GSE73710,GPL571
GSE73711,GPL13112
GSE73717,GPL6887
GSE73718,GPL11154
GSE73726,GPL17543
