GSE_ID,GPL_ID
GSE28052,GPL6244
GSE28058,GPL1355
GSE28064,GPL6883
GSE28070,GPL7020
GSE28073,GPL4133
GSE28083,GPL6246
GSE28084,GPL6246
GSE28086,GPL7202
GSE28106,GPL8321
GSE28115,GPL7874
GSE28130,GPL1261
GSE28135,GPL10558
GSE2814,GPL2510
GSE28141,GPL6885
GSE28145,GPL7202
GSE28146,GPL570
GSE28155,GPL6480
GSE28158,GPL10558
GSE28160,GPL570
GSE28164,GPL1261
GSE28167,GPL570
GSE2817,GPL570
GSE28175,GPL4134
GSE28176,GPL4134
GSE28177,GPL570
GSE28186,GPL1261
GSE28201,GPL4134
GSE28202,GPL7294
GSE28205,GPL6883
GSE28206,GPL6884
GSE2822,GPL8300
GSE28220,GPL6947
GSE28230,GPL4133
GSE28231,GPL1261
GSE28237,GPL1261
GSE28238,GPL570
GSE28240,GPL1261
GSE28241,GPL6244
GSE28242,GPL6244
GSE28253,GPL4133
GSE28255,GPL10558
GSE2826,GPL81
GSE28262,GPL6105
GSE28265,GPL4134
GSE28266,GPL6244
GSE28270,GPL6885
GSE28272,GPL6947
GSE28304,GPL570
GSE28313,GPL5175
GSE28315,GPL6244
GSE28319,GPL6947
GSE28332,GPL10999
GSE28333,GPL1261
GSE28339,GPL570
GSE28340,GPL1261
GSE28355,GPL1261
GSE28360,GPL6244
GSE2837,GPL1352
GSE28379,GPL570
GSE28384,GPL6887
GSE28387,GPL13369
GSE28393,GPL6481
GSE28402,GPL6887
GSE28403,GPL2879
GSE28408,GPL1261
GSE28413,GPL570
GSE28420,GPL6103
GSE28422,GPL570
GSE2843,GPL1261
GSE28437,GPL1261
GSE28443,GPL4134
GSE28444,GPL570
GSE28451,GPL6096
GSE28454,GPL6883
GSE28460,GPL570
GSE28466,GPL6947
GSE28467,GPL6947
GSE28474,GPL2996
GSE28482,GPL2996
GSE28484,GPL6480
GSE28498,GPL6244
GSE2850,GPL339
GSE28503,GPL570
GSE28504,GPL570
GSE28505,GPL4134
GSE28511,GPL6947
GSE28517,GPL13381
GSE28520,GPL8759
GSE28523,GPL2872
GSE28527,GPL4134
GSE28528,GPL4134
GSE28529,GPL2872
GSE28530,GPL1261
GSE28541,GPL13376
GSE28545,GPL2996
GSE28546,GPL6883
GSE28551,GPL2986
GSE28558,GPL6947
GSE28575,GPL6105
GSE28580,GPL13158
