"GSE_ID","GPL_ID"
"GSE29776","GPL81"
"GSE29782","GPL6947"
"GSE29788","GPL96"
"GSE29792","GPL13648"
"GSE29793","GPL13648"
"GSE29794","GPL13648"
"GSE29798","GPL1261"
"GSE29799","GPL6244"
"GSE29807","GPL570"
"GSE2982","GPL890"
"GSE29828","GPL570"
"GSE29832","GPL570"
"GSE29869","GPL4133"
"GSE2988","GPL2660"
"GSE29880","GPL6244"
"GSE29881","GPL570"
"GSE29883","GPL570"
"GSE29885","GPL1355"
"GSE29903","GPL570"
"GSE29907","GPL6883"
"GSE29908","GPL570"
"GSE29918","GPL5175"
"GSE2992","GPL96"
"GSE29921","GPL10332"
"GSE29943","GPL11154"
"GSE29950","GPL13718"
"GSE29952","GPL6480"
"GSE29955","GPL571"
"GSE29957","GPL6103"
"GSE29968","GPL10999"
"GSE29975","GPL1261"
"GSE29984","GPL6885"
"GSE29986","GPL570"
"GSE29995","GPL1261"
"GSE30004","GPL6244"
"GSE30010","GPL570"
"GSE30012","GPL1261"
"GSE30022","GPL6887"
"GSE30027","GPL6947"
"GSE30029","GPL6947"
"GSE3003","GPL96"
"GSE30038","GPL570"
"GSE30078","GPL7275"
"GSE30080","GPL6246"
"GSE30081","GPL1355"
"GSE30084","GPL4134"
"GSE30102","GPL6885"
"GSE30105","GPL4133"
"GSE30114","GPL4133"
"GSE30116","GPL6887"
"GSE3013","GPL91"
"GSE30131","GPL4133"
"GSE30132","GPL4133"
"GSE30139","GPL7202"
"GSE30144","GPL5642"
"GSE30147","GPL1355"
"GSE30153","GPL570"
"GSE30159","GPL570"
"GSE30160","GPL1261"
"GSE30170","GPL13718"
"GSE30171","GPL4133"
"GSE30178","GPL6101"
"GSE30185","GPL6102"
"GSE30186","GPL10558"
"GSE30190","GPL10333"
"GSE30192","GPL1261"
"GSE30196","GPL4134"
"GSE30200","GPL6947"
"GSE30201","GPL570"
"GSE30220","GPL570"
"GSE30222","GPL9115"
"GSE30244","GPL6246"
"GSE30248","GPL1261"
"GSE30273","GPL6848"
"GSE30284","GPL6244"
"GSE30288","GPL6947"
"GSE30294","GPL10558"
"GSE30308","GPL1355"
"GSE30315","GPL6244"
"GSE30316","GPL10558"
"GSE30323","GPL1261"
"GSE30324","GPL1261"
"GSE30326","GPL6244"
"GSE30330","GPL6480"
"GSE30336","GPL571"
"GSE30355","GPL570"
"GSE30356","GPL1261"
"GSE30361","GPL6884"
"GSE30363","GPL1261"
"GSE30364","GPL10526"
"GSE30376","GPL96"
"GSE30385","GPL201"
"GSE30392","GPL6884"
"GSE30393","GPL3108"
"GSE3040","GPL96"
"GSE30406","GPL6246"
"GSE30411","GPL6096"
"GSE30417","GPL6887"
"GSE30419","GPL1261"
"GSE30437","GPL11199"
