"GSE_ID","GPL_ID"
"GSE41621","GPL10558"
"GSE41627","GPL570"
"GSE41635","GPL570"
"GSE41637","GPL11002"
"GSE41644","GPL2872"
"GSE41645","GPL7202"
"GSE4165","GPL339"
"GSE41651","GPL4133"
"GSE41653","GPL4133"
"GSE41658","GPL13112"
"GSE41662","GPL570"
"GSE41665","GPL1261"
"GSE41668","GPL570"
"GSE41669","GPL570"
"GSE41672","GPL570"
"GSE41681","GPL14550"
"GSE41688","GPL1261"
"GSE41697","GPL13667"
"GSE41699","GPL6105"
"GSE41704","GPL339"
"GSE41706","GPL1261"
"GSE41709","GPL6247"
"GSE41714","GPL10558"
"GSE41715","GPL8321"
"GSE41716","GPL11154"
"GSE41718","GPL11202"
"GSE4172","GPL570"
"GSE41726","GPL6480"
"GSE41737","GPL570"
"GSE41745","GPL10999"
"GSE41747","GPL10371"
"GSE41751","GPL570"
"GSE41767","GPL14550"
"GSE41785","GPL11002"
"GSE4179","GPL1261"
"GSE41790","GPL6947"
"GSE41791","GPL6246"
"GSE41793","GPL11002"
"GSE41796","GPL10332"
"GSE4180","GPL891"
"GSE41801","GPL5639"
"GSE41804","GPL570"
"GSE41807","GPL1261"
"GSE41808","GPL1261"
"GSE41809","GPL1261"
"GSE41812","GPL13667"
"GSE41827","GPL570"
"GSE41839","GPL1261"
"GSE41842","GPL6244"
"GSE41851","GPL570"
"GSE41878","GPL6887"
"GSE41879","GPL13112"
"GSE41882","GPL6246"
"GSE41892","GPL571"
"GSE41893","GPL10558"
"GSE41894","GPL10558"
"GSE41896","GPL1261"
"GSE41898","GPL6246"
"GSE41901","GPL7294"
"GSE41905","GPL11532"
"GSE41907","GPL1261"
"GSE41908","GPL13112"
"GSE41914","GPL570"
"GSE41919","GPL14550"
"GSE41932","GPL1261"
"GSE41942","GPL1261"
"GSE41946","GPL6480"
"GSE41951","GPL13607"
"GSE41954","GPL13179"
"GSE41960","GPL15207"
"GSE41972","GPL570"
"GSE41974","GPL13112"
"GSE41976","GPL13112"
"GSE41985","GPL13112"
"GSE41997","GPL1261"
"GSE41999","GPL16239"
"GSE42002","GPL6947"
"GSE42006","GPL10999"
"GSE42008","GPL1261"
"GSE42023","GPL6883"
"GSE42024","GPL6480"
"GSE42026","GPL6947"
"GSE42030","GPL6480"
"GSE42031","GPL6480"
"GSE42038","GPL570"
"GSE42041","GPL6096"
"GSE42051","GPL5175"
"GSE42052","GPL13912"
"GSE42064","GPL570"
"GSE4207","GPL885"
"GSE42071","GPL6884"
"GSE42078","GPL13667"
"GSE42088","GPL570"
"GSE42089","GPL9828"
"GSE4209","GPL96"
"GSE42094","GPL10558"
"GSE42100","GPL13112"
"GSE42112","GPL13497"
"GSE42114","GPL570"
"GSE42131","GPL7202"
