GSE_ID,GPL_ID
GSE73728,GPL6887
GSE73729,GPL18480
GSE73732,GPL6885
GSE73733,GPL13912
GSE73743,GPL17021
GSE73751,GPL570
GSE73753,GPL16570
GSE73754,GPL10558
GSE73755,GPL6885
GSE73756,GPL10332
GSE73758,GPL13912
GSE73764,GPL570
GSE73771,GPL6246
GSE73784,GPL16791
GSE73803,GPL13112
GSE73809,GPL17586
GSE73813,GPL17021
GSE73816,GPL6096
GSE73826,GPL6096
GSE73835,GPL6887
GSE73837,GPL6246
GSE73839,GPL5642
GSE73848,GPL11534
GSE73849,GPL17400
GSE73854,GPL570
GSE73857,GPL11154
GSE73861,GPL13112
GSE73864,GPL8321
GSE73871,GPL16791
GSE73875,GPL16570
GSE73878,GPL6885
GSE73882,GPL17400
GSE73884,GPL17117
GSE73886,GPL17117
GSE73887,GPL16791
GSE73896,GPL11534
GSE73897,GPL13112
GSE73900,GPL7202
GSE73907,GPL16570
GSE73909,GPL19057
GSE73910,GPL6247
GSE73911,GPL6246
GSE73919,GPL15207
GSE7392,GPL570
GSE73923,GPL10558
GSE73927,GPL570
GSE73929,GPL16791
GSE73932,GPL16417
GSE73934,GPL15520
GSE73939,GPL15523
GSE73942,GPL11154
GSE7395,GPL2995
GSE73951,GPL6885
GSE73954,GPL570
GSE73955,GPL1355
GSE7396,GPL1261
GSE73961,GPL17077
GSE73964,GPL15207
GSE73968,GPL6244
GSE7397,GPL2877
GSE73970,GPL10558
GSE73977,GPL17021
GSE73978,GPL6244
GSE73982,GPL18573
GSE73985,GPL20939
GSE73986,GPL11154
GSE7399,GPL1261
GSE73993,GPL13112
GSE74004,GPL17586
GSE74015,GPL17400
GSE74018,GPL17021
GSE74021,GPL4134
GSE74027,GPL21032
GSE74032,GPL17692
GSE74034,GPL17692
GSE74041,GPL15520
GSE74043,GPL6246
GSE74046,GPL15207
GSE74048,GPL20115
GSE74052,GPL13112
GSE74053,GPL16791
GSE74057,GPL16570
GSE74058,GPL16570
GSE74061,GPL17400
GSE74062,GPL6096
GSE74065,GPL17021
GSE74066,GPL13912
GSE74068,GPL17077
GSE7407,GPL1261
GSE74078,GPL1261
GSE74082,GPL1261
GSE74089,GPL13497
GSE7410,GPL1708
GSE74111,GPL13112
GSE74113,GPL17021
GSE74118,GPL10999
GSE7412,GPL339
GSE74120,GPL16570
GSE74131,GPL17021
GSE74140,GPL6246
