"GSE_ID","GPL_ID"
"GSE34563","GPL15041"
"GSE34567","GPL10773"
"GSE34573","GPL3718"
"GSE34576","GPL15034"
"GSE34584","GPL6246"
"GSE34586","GPL339"
"GSE34608","GPL6480"
"GSE34618","GPL1261"
"GSE34619","GPL6244"
"GSE34625","GPL4134"
"GSE34627","GPL6884"
"GSE34630","GPL6887"
"GSE34640","GPL1261"
"GSE34669","GPL8321"
"GSE34671","GPL6867"
"GSE34673","GPL6246"
"GSE34675","GPL7202"
"GSE34691","GPL6246"
"GSE34722","GPL9851"
"GSE34729","GPL1261"
"GSE34733","GPL570"
"GSE34736","GPL10999"
"GSE34747","GPL15069"
"GSE34755","GPL1261"
"GSE34756","GPL5175"
"GSE34760","GPL11202"
"GSE34763","GPL570"
"GSE34764","GPL6246"
"GSE34765","GPL1261"
"GSE34767","GPL570"
"GSE34772","GPL1355"
"GSE34780","GPL10999"
"GSE34782","GPL10333"
"GSE34786","GPL11533"
"GSE34792","GPL4133"
"GSE34800","GPL570"
"GSE34811","GPL1355"
"GSE34814","GPL13912"
"GSE34817","GPL10558"
"GSE34818","GPL13912"
"GSE34822","GPL6480"
"GSE34824","GPL570"
"GSE34828","GPL570"
"GSE34829","GPL6246"
"GSE34830","GPL6246"
"GSE34831","GPL6246"
"GSE34832","GPL6246"
"GSE34833","GPL6246"
"GSE34834","GPL6246"
"GSE34835","GPL6246"
"GSE34839","GPL1261"
"GSE34844","GPL14951"
"GSE34850","GPL13158"
"GSE34855","GPL5175"
"GSE34865","GPL5175"
"GSE34873","GPL6246"
"GSE34881","GPL4133"
"GSE34886","GPL14661"
"GSE3489","GPL8300"
"GSE34892","GPL1261"
"GSE34893","GPL571"
"GSE34902","GPL1261"
"GSE34903","GPL13112"
"GSE34904","GPL10558"
"GSE3491","GPL8300"
"GSE34912","GPL10558"
"GSE34914","GPL9115"
"GSE34918","GPL10558"
"GSE34925","GPL6244"
"GSE34940","GPL4133"
"GSE34948","GPL6246"
"GSE34949","GPL1261"
"GSE34965","GPL570"
"GSE34970","GPL5175"
"GSE34972","GPL570"
"GSE34973","GPL1261"
"GSE34982","GPL13534"
"GSE34993","GPL9052"
"GSE34994","GPL6848"
"GSE35001","GPL6244"
"GSE35003","GPL1261"
"GSE3501","GPL1261"
"GSE35013","GPL6246"
"GSE35014","GPL570"
"GSE35022","GPL6947"
"GSE35034","GPL14550"
"GSE35063","GPL6246"
"GSE35068","GPL570"
"GSE3507","GPL870"
"GSE35075","GPL6845"
"GSE35076","GPL6246"
"GSE3508","GPL2549"
"GSE35084","GPL570"
"GSE35092","GPL6887"
"GSE35093","GPL6887"
"GSE35096","GPL6246"
"GSE35102","GPL6102"
"GSE35110","GPL6246"
"GSE35111","GPL6246"
"GSE35115","GPL6884"
