"GSE_ID","GPL_ID"
"GSE59089","GPL16791"
"GSE59093","GPL11154"
"GSE5910","GPL341"
"GSE59100","GPL11154"
"GSE59107","GPL10333"
"GSE5911","GPL1456"
"GSE59110","GPL6247"
"GSE59111","GPL6884"
"GSE59118","GPL10558"
"GSE59119","GPL13112"
"GSE59126","GPL96"
"GSE59130","GPL17021"
"GSE59140","GPL4133"
"GSE59141","GPL6246"
"GSE59142","GPL16570"
"GSE59145","GPL10332"
"GSE59152","GPL6246"
"GSE59168","GPL9185"
"GSE59179","GPL10558"
"GSE59182","GPL10558"
"GSE59183","GPL10558"
"GSE59196","GPL570"
"GSE59205","GPL6246"
"GSE5921","GPL1261"
"GSE59214","GPL6244"
"GSE59215","GPL17021"
"GSE59218","GPL6887"
"GSE59223","GPL10999"
"GSE59226","GPL570"
"GSE59227","GPL10558"
"GSE59228","GPL570"
"GSE59229","GPL570"
"GSE59230","GPL570"
"GSE59234","GPL6244"
"GSE59237","GPL570"
"GSE59241","GPL6246"
"GSE59251","GPL11154"
"GSE59259","GPL18451"
"GSE59269","GPL17021"
"GSE59276","GPL6885"
"GSE59278","GPL6247"
"GSE59284","GPL6244"
"GSE59285","GPL16173"
"GSE59290","GPL16791"
"GSE59291","GPL1261"
"GSE59295","GPL6102"
"GSE59296","GPL15207"
"GSE59303","GPL16570"
"GSE59304","GPL18741"
"GSE59305","GPL18741"
"GSE59308","GPL14550"
"GSE59312","GPL570"
"GSE59317","GPL11154"
"GSE59319","GPL1261"
"GSE59322","GPL15069"
"GSE59332","GPL1261"
"GSE59338","GPL6246"
"GSE59343","GPL10558"
"GSE59347","GPL13497"
"GSE59361","GPL570"
"GSE59364","GPL11154"
"GSE59366","GPL17077"
"GSE59373","GPL13112"
"GSE59375","GPL1261"
"GSE59376","GPL11154"
"GSE59383","GPL17021"
"GSE59385","GPL10558"
"GSE59386","GPL11154"
"GSE59393","GPL6246"
"GSE59400","GPL16699"
"GSE59412","GPL570"
"GSE59413","GPL339"
"GSE59419","GPL13112"
"GSE59422","GPL6246"
"GSE59431","GPL18090"
"GSE59439","GPL11180"
"GSE59442","GPL13112"
"GSE59449","GPL6244"
"GSE59450","GPL14550"
"GSE59454","GPL6096"
"GSE59456","GPL1355"
"GSE59458","GPL14550"
"GSE59459","GPL6246"
"GSE59462","GPL14550"
"GSE59464","GPL8321"
"GSE5947","GPL2552"
"GSE59472","GPL6244"
"GSE59473","GPL96"
"GSE59476","GPL13497"
"GSE59483","GPL11154"
"GSE59486","GPL13112"
"GSE59502","GPL17692"
"GSE59512","GPL6246"
"GSE59531","GPL11154"
"GSE59534","GPL17077"
"GSE59545","GPL1261"
"GSE59547","GPL13112"
"GSE59549","GPL11180"
"GSE59557","GPL1261"
"GSE59564","GPL6246"
