"GSE_ID","GPL_ID"
"GSE111662","GPL570"
"GSE111664","GPL17021"
"GSE111666","GPL13112"
"GSE111668","GPL17021"
"GSE111669","GPL21103"
"GSE111678","GPL570"
"GSE111692","GPL13112"
"GSE111694","GPL13112"
"GSE111697","GPL17021"
"GSE111702","GPL21103"
"GSE111703","GPL17021"
"GSE111707","GPL21970"
"GSE111723","GPL19057"
"GSE11173","GPL4124"
"GSE111731","GPL21626"
"GSE111735","GPL6885"
"GSE111737","GPL21810"
"GSE111739","GPL17021"
"GSE111740","GPL17021"
"GSE111744","GPL16570"
"GSE111745","GPL16570"
"GSE111752","GPL19057"
"GSE111757","GPL21163"
"GSE111758","GPL7202"
"GSE111759","GPL21282"
"GSE111760","GPL21282"
"GSE111761","GPL13497"
"GSE111770","GPL14844"
"GSE111779","GPL17021"
"GSE11178","GPL1261"
"GSE111787","GPL570"
"GSE111789","GPL11154"
"GSE111790","GPL10558"
"GSE111791","GPL17021"
"GSE111793","GPL11154"
"GSE111796","GPL18635"
"GSE111802","GPL21282"
"GSE111804","GPL21810"
"GSE111817","GPL15207"
"GSE111826","GPL20775"
"GSE111827","GPL17077"
"GSE111831","GPL19415"
"GSE111833","GPL13112"
"GSE111839","GPL21103"
"GSE111842","GPL16791"
"GSE111843","GPL6244"
"GSE111844","GPL6244"
"GSE111847","GPL13112"
"GSE11185","GPL570"
"GSE111853","GPL18573"
"GSE111855","GPL17021"
"GSE111865","GPL17400"
"GSE111871","GPL17021"
"GSE111876","GPL16791"
"GSE111878","GPL16791"
"GSE11188","GPL96"
"GSE111881","GPL18460"
"GSE111887","GPL17077"
"GSE11189","GPL81"
"GSE11190","GPL570"
"GSE111906","GPL16791"
"GSE111912","GPL20301"
"GSE111916","GPL17021"
"GSE111918","GPL18573"
"GSE111938","GPL17021"
"GSE111940","GPL13912"
"GSE111941","GPL14797"
"GSE111945","GPL17021"
"GSE111946","GPL17077"
"GSE111949","GPL11154"
"GSE111951","GPL17021"
"GSE111968","GPL18573"
"GSE111970","GPL13112"
"GSE111971","GPL6480"
"GSE111972","GPL18573"
"GSE111974","GPL17077"
"GSE111988","GPL16570"
"GSE111992","GPL18573"
"GSE111994","GPL17077"
"GSE111997","GPL17021"
"GSE112002","GPL19057"
"GSE112010","GPL6105"
"GSE112029","GPL21185"
"GSE112031","GPL20301"
"GSE112033","GPL17021"
"GSE112038","GPL13112"
"GSE112039","GPL13607"
"GSE112041","GPL19057"
"GSE112043","GPL19057"
"GSE112044","GPL10333"
"GSE11205","GPL4133"
"GSE112055","GPL17021"
"GSE112058","GPL18573"
"GSE112066","GPL17021"
"GSE112079","GPL16686"
"GSE112082","GPL6246"
"GSE112087","GPL16791"
"GSE112094","GPL17021"
"GSE112095","GPL18480"
"GSE112102","GPL10558"
