"GSE_ID","GPL_ID"
"GSE59571","GPL13112"
"GSE59576","GPL7202"
"GSE5958","GPL81"
"GSE59586","GPL16570"
"GSE5959","GPL1261"
"GSE59598","GPL16791"
"GSE5960","GPL81"
"GSE59602","GPL11533"
"GSE59612","GPL11154"
"GSE59621","GPL11154"
"GSE59622","GPL13112"
"GSE59634","GPL6884"
"GSE59635","GPL10558"
"GSE59641","GPL6247"
"GSE59642","GPL10332"
"GSE59643","GPL10558"
"GSE59648","GPL6885"
"GSE59654","GPL10558"
"GSE59655","GPL15207"
"GSE5966","GPL1708"
"GSE59662","GPL10558"
"GSE59664","GPL6246"
"GSE59673","GPL10558"
"GSE59674","GPL7202"
"GSE5968","GPL570"
"GSE59686","GPL13607"
"GSE59695","GPL17301"
"GSE59697","GPL4133"
"GSE59725","GPL13112"
"GSE59730","GPL17930"
"GSE59733","GPL18990"
"GSE59740","GPL18991"
"GSE59742","GPL6885"
"GSE59743","GPL10558"
"GSE59746","GPL570"
"GSE59765","GPL11154"
"GSE59771","GPL570"
"GSE59780","GPL570"
"GSE59785","GPL6480"
"GSE59803","GPL10558"
"GSE59807","GPL6246"
"GSE59841","GPL11154"
"GSE59846","GPL10999"
"GSE59848","GPL6246"
"GSE59849","GPL19108"
"GSE5985","GPL1261"
"GSE59865","GPL1261"
"GSE59868","GPL6887"
"GSE5987","GPL1261"
"GSE59873","GPL17021"
"GSE5988","GPL3463"
"GSE59884","GPL11154"
"GSE59887","GPL10558"
"GSE59918","GPL14844"
"GSE59922","GPL11533"
"GSE59928","GPL6246"
"GSE59931","GPL570"
"GSE59937","GPL11154"
"GSE59938","GPL4133"
"GSE59940","GPL7202"
"GSE59948","GPL16699"
"GSE59949","GPL11532"
"GSE59953","GPL16043"
"GSE59957","GPL570"
"GSE59958","GPL16173"
"GSE5996","GPL1355"
"GSE59963","GPL6246"
"GSE59972","GPL6887"
"GSE59987","GPL11154"
"GSE59995","GPL14951"
"GSE59997","GPL15207"
"GSE60000","GPL6887"
"GSE60003","GPL1355"
"GSE60013","GPL4135"
"GSE60018","GPL1261"
"GSE60019","GPL11002"
"GSE60035","GPL19034"
"GSE6004","GPL570"
"GSE60042","GPL14550"
"GSE60052","GPL11154"
"GSE60066","GPL13112"
"GSE60070","GPL6096"
"GSE60072","GPL13112"
"GSE60074","GPL6096"
"GSE60078","GPL4134"
"GSE60083","GPL6884"
"GSE60088","GPL1261"
"GSE60096","GPL6246"
"GSE60097","GPL9250"
"GSE60101","GPL18480"
"GSE60102","GPL6102"
"GSE6011","GPL96"
"GSE60114","GPL11002"
"GSE60118","GPL14746"
"GSE6012","GPL96"
"GSE60123","GPL570"
"GSE60124","GPL570"
"GSE60125","GPL570"
"GSE6013","GPL570"
"GSE60135","GPL570"
