"GSE_ID","GPL_ID"
"GSE89584","GPL7202"
"GSE89585","GPL17021"
"GSE89594","GPL16699"
"GSE89603","GPL17021"
"GSE89607","GPL16686"
"GSE89615","GPL17077"
"GSE89619","GPL19057"
"GSE89620","GPL17021"
"GSE89621","GPL17021"
"GSE89622","GPL17021"
"GSE89627","GPL17021"
"GSE89628","GPL6887"
"GSE89629","GPL6887"
"GSE89634","GPL16570"
"GSE89636","GPL17021"
"GSE89639","GPL20844"
"GSE89642","GPL6887"
"GSE89645","GPL1261"
"GSE89647","GPL16791"
"GSE89656","GPL1261"
"GSE89659","GPL10558"
"GSE89660","GPL17021"
"GSE89673","GPL10558"
"GSE89675","GPL1261"
"GSE89683","GPL17021"
"GSE89689","GPL17021"
"GSE8969","GPL1261"
"GSE89695","GPL17021"
"GSE89709","GPL1261"
"GSE89710","GPL570"
"GSE89711","GPL21103"
"GSE89715","GPL17586"
"GSE89718","GPL1261"
"GSE89725","GPL20301"
"GSE89726","GPL16791"
"GSE89729","GPL11154"
"GSE89733","GPL11002"
"GSE89738","GPL11202"
"GSE89742","GPL17021"
"GSE89744","GPL18480"
"GSE89745","GPL11154"
"GSE89747","GPL10558"
"GSE89757","GPL6887"
"GSE89759","GPL201"
"GSE89760","GPL16043"
"GSE89764","GPL17021"
"GSE89766","GPL6244"
"GSE8977","GPL570"
"GSE89771","GPL17021"
"GSE89774","GPL20301"
"GSE89775","GPL16791"
"GSE89782","GPL6480"
"GSE89793","GPL13667"
"GSE89794","GPL10333"
"GSE89806","GPL17021"
"GSE89811","GPL17021"
"GSE89812","GPL10558"
"GSE89817","GPL13112"
"GSE89824","GPL17791"
"GSE89834","GPL17021"
"GSE8984","GPL2872"
"GSE89840","GPL16791"
"GSE89846","GPL17543"
"GSE89856","GPL16699"
"GSE89857","GPL17021"
"GSE8987","GPL571"
"GSE89870","GPL17543"
"GSE89872","GPL16791"
"GSE89873","GPL6101"
"GSE89876","GPL16791"
"GSE89877","GPL6246"
"GSE89879","GPL16791"
"GSE89897","GPL17021"
"GSE89899","GPL13112"
"GSE89900","GPL17021"
"GSE89907","GPL11202"
"GSE89912","GPL1261"
"GSE89921","GPL10558"
"GSE89922","GPL10558"
"GSE89934","GPL1261"
"GSE89935","GPL1261"
"GSE89937","GPL570"
"GSE89940","GPL18573"
"GSE89942","GPL18573"
"GSE89945","GPL17021"
"GSE89952","GPL13112"
"GSE89953","GPL6883"
"GSE89954","GPL6246"
"GSE89956","GPL6246"
"GSE89957","GPL11154"
"GSE89960","GPL19057"
"GSE89963","GPL6246"
"GSE89965","GPL6246"
"GSE89973","GPL16791"
"GSE89975","GPL16791"
"GSE89979","GPL1261"
"GSE89981","GPL21103"
"GSE89984","GPL17021"
"GSE89985","GPL13497"
"GSE89996","GPL16570"
