GSE_ID,GPL_ID
GSE110027,GPL17586
GSE110029,GPL10333
GSE110051,GPL17021
GSE110052,GPL6885
GSE110064,GPL570
GSE110065,GPL11202
GSE110078,GPL20844
GSE110083,GPL16570
GSE110085,GPL570
GSE110092,GPL17021
GSE110097,GPL18573
GSE110098,GPL4685
GSE110101,GPL6887
GSE110104,GPL1261
GSE110108,GPL1261
GSE11011,GPL571
GSE110112,GPL11202
GSE110114,GPL16791
GSE11013,GPL1261
GSE110144,GPL17021
GSE110147,GPL6244
GSE110156,GPL3921
GSE110165,GPL17021
GSE110176,GPL13112
GSE110177,GPL15103
GSE11018,GPL1261
GSE110181,GPL21163
GSE110188,GPL15103
GSE110194,GPL21103
GSE110197,GPL22396
GSE110198,GPL23643
GSE110206,GPL20795
GSE110212,GPL13112
GSE110215,GPL21103
GSE110216,GPL16699
GSE110219,GPL18573
GSE110220,GPL16791
GSE110229,GPL11154
GSE110230,GPL17077
GSE110233,GPL22388
GSE110236,GPL13112
GSE110239,GPL13112
GSE11024,GPL6671
GSE110242,GPL13497
GSE110245,GPL16570
GSE110246,GPL16570
GSE110249,GPL17021
GSE110257,GPL6246
GSE110263,GPL19057
GSE110265,GPL21103
GSE110268,GPL21103
GSE110278,GPL16791
GSE110290,GPL17586
GSE110296,GPL13112
GSE110297,GPL18480
GSE110300,GPL17021
GSE110303,GPL17021
GSE110312,GPL570
GSE110313,GPL570
GSE110327,GPL17021
GSE110333,GPL6887
GSE110335,GPL21970
GSE110346,GPL6246
GSE110350,GPL10333
GSE110359,GPL17586
GSE110362,GPL570
GSE110363,GPL16570
GSE110371,GPL17021
GSE110372,GPL17021
GSE110374,GPL21103
GSE11038,GPL2005
GSE110380,GPL21290
GSE110383,GPL19057
GSE110384,GPL11202
GSE110391,GPL13112
GSE110397,GPL17021
GSE110417,GPL11154
GSE110420,GPL17400
GSE110425,GPL10558
GSE110440,GPL17021
GSE110446,GPL17586
GSE110449,GPL18573
GSE11045,GPL570
GSE110451,GPL18573
GSE110452,GPL16570
GSE110458,GPL1261
GSE110459,GPL19057
GSE110467,GPL18573
GSE110471,GPL20301
GSE110480,GPL18573
GSE110487,GPL10999
GSE110492,GPL18573
GSE110499,GPL16791
GSE110513,GPL16791
GSE110515,GPL1261
GSE110521,GPL21493
GSE110531,GPL1261
GSE110532,GPL6887
GSE110545,GPL570
GSE110549,GPL6246
