"GSE_ID","GPL_ID"
"GSE85567","GPL11154"
"GSE85569","GPL8321"
"GSE85577","GPL17117"
"GSE85582","GPL16686"
"GSE85583","GPL1261"
"GSE85585","GPL19795"
"GSE85596","GPL9185"
"GSE85597","GPL19057"
"GSE85599","GPL17586"
"GSE85602","GPL1261"
"GSE85606","GPL16791"
"GSE85607","GPL10558"
"GSE85613","GPL16699"
"GSE85614","GPL20844"
"GSE85618","GPL6247"
"GSE8562","GPL96"
"GSE85620","GPL22321"
"GSE85627","GPL17021"
"GSE85629","GPL6480"
"GSE85635","GPL7202"
"GSE85638","GPL6246"
"GSE85640","GPL6246"
"GSE85641","GPL17021"
"GSE85646","GPL13112"
"GSE85648","GPL13112"
"GSE85657","GPL17021"
"GSE85659","GPL1261"
"GSE8566","GPL891"
"GSE85660","GPL16570"
"GSE85671","GPL16791"
"GSE85674","GPL17021"
"GSE85682","GPL16570"
"GSE85683","GPL15207"
"GSE85685","GPL16791"
"GSE85689","GPL16791"
"GSE85694","GPL6244"
"GSE85696","GPL13497"
"GSE85702","GPL13112"
"GSE85703","GPL7202"
"GSE85706","GPL16570"
"GSE85709","GPL17021"
"GSE85716","GPL19612"
"GSE85723","GPL17021"
"GSE85729","GPL11202"
"GSE85731","GPL13112"
"GSE85732","GPL570"
"GSE85735","GPL13497"
"GSE85737","GPL13112"
"GSE8574","GPL891"
"GSE85744","GPL8321"
"GSE85745","GPL13112"
"GSE85748","GPL6244"
"GSE85750","GPL13112"
"GSE85763","GPL17021"
"GSE85772","GPL13112"
"GSE85774","GPL8321"
"GSE85775","GPL1261"
"GSE85785","GPL7294"
"GSE85789","GPL18694"
"GSE85791","GPL11154"
"GSE85799","GPL16791"
"GSE85804","GPL10558"
"GSE85805","GPL20258"
"GSE85808","GPL17912"
"GSE85815","GPL13112"
"GSE85825","GPL6101"
"GSE8583","GPL2552"
"GSE85831","GPL16791"
"GSE85832","GPL1261"
"GSE85834","GPL17400"
"GSE85841","GPL20115"
"GSE85849","GPL1261"
"GSE85854","GPL11154"
"GSE85885","GPL17586"
"GSE85891","GPL17021"
"GSE85896","GPL16570"
"GSE85898","GPL570"
"GSE85910","GPL16791"
"GSE85911","GPL11533"
"GSE85912","GPL11533"
"GSE85915","GPL6246"
"GSE85919","GPL17586"
"GSE85920","GPL17586"
"GSE85931","GPL21103"
"GSE85935","GPL20301"
"GSE85936","GPL17021"
"GSE85946","GPL13112"
"GSE85953","GPL11154"
"GSE85957","GPL1355"
"GSE85960","GPL570"
"GSE85962","GPL1261"
"GSE85964","GPL10558"
"GSE85967","GPL11002"
"GSE8597","GPL570"
"GSE85976","GPL17021"
"GSE85978","GPL5175"
"GSE85983","GPL17021"
"GSE85986","GPL10558"
"GSE85987","GPL17400"
"GSE85989","GPL13912"
