"GSE_ID","GPL_ID"
"GSE37814","GPL6480"
"GSE37820","GPL570"
"GSE37828","GPL4134"
"GSE37832","GPL6246"
"GSE37842","GPL570"
"GSE37843","GPL6244"
"GSE37849","GPL1261"
"GSE37857","GPL7202"
"GSE37866","GPL15542"
"GSE37873","GPL6884"
"GSE37885","GPL4134"
"GSE37887","GPL13912"
"GSE37888","GPL4133"
"GSE37894","GPL6887"
"GSE37898","GPL6246"
"GSE37903","GPL570"
"GSE37917","GPL1261"
"GSE37918","GPL11154"
"GSE37923","GPL6244"
"GSE37925","GPL6884"
"GSE37926","GPL4134"
"GSE37928","GPL4134"
"GSE37934","GPL570"
"GSE37935","GPL570"
"GSE37937","GPL15558"
"GSE37939","GPL6947"
"GSE37945","GPL6480"
"GSE37953","GPL4134"
"GSE37956","GPL570"
"GSE37957","GPL4133"
"GSE37958","GPL7202"
"GSE37959","GPL4134"
"GSE37967","GPL10558"
"GSE37985","GPL6244"
"GSE37991","GPL6883"
"GSE37993","GPL6244"
"GSE37994","GPL6244"
"GSE37995","GPL1261"
"GSE37996","GPL6887"
"GSE38007","GPL571"
"GSE38010","GPL570"
"GSE38012","GPL6947"
"GSE38026","GPL11532"
"GSE38027","GPL570"
"GSE38039","GPL6244"
"GSE38043","GPL570"
"GSE38044","GPL1261"
"GSE38045","GPL6244"
"GSE38049","GPL6244"
"GSE38054","GPL14550"
"GSE38058","GPL570"
"GSE38060","GPL1355"
"GSE38064","GPL570"
"GSE38072","GPL15572"
"GSE38075","GPL6794"
"GSE38077","GPL15572"
"GSE38081","GPL3562"
"GSE38085","GPL13912"
"GSE38088","GPL6244"
"GSE38091","GPL570"
"GSE38095","GPL11202"
"GSE38096","GPL13912"
"GSE38117","GPL4134"
"GSE38123","GPL15592"
"GSE38129","GPL571"
"GSE38148","GPL11002"
"GSE38152","GPL14550"
"GSE38153","GPL14550"
"GSE38161","GPL570"
"GSE38171","GPL15041"
"GSE38172","GPL6244"
"GSE38175","GPL6884"
"GSE38198","GPL11002"
"GSE38201","GPL11154"
"GSE38204","GPL6254"
"GSE38205","GPL1261"
"GSE38218","GPL1261"
"GSE38221","GPL6101"
"GSE38223","GPL6101"
"GSE38226","GPL6947"
"GSE3823","GPL96"
"GSE38236","GPL11002"
"GSE38241","GPL4133"
"GSE38264","GPL6246"
"GSE38265","GPL11154"
"GSE38267","GPL13607"
"GSE38279","GPL5639"
"GSE38283","GPL1261"
"GSE38290","GPL571"
"GSE38300","GPL7202"
"GSE38311","GPL8321"
"GSE38316","GPL6246"
"GSE38325","GPL7202"
"GSE38330","GPL15287"
"GSE38333","GPL6246"
"GSE38336","GPL4134"
"GSE38341","GPL8321"
"GSE38342","GPL1261"
"GSE38343","GPL10558"
"GSE38346","GPL6887"
