GSE_ID,GPL_ID
GSE7212,GPL1261
GSE72122,GPL11202
GSE72128,GPL6105
GSE72129,GPL11002
GSE7213,GPL570
GSE72131,GPL16791
GSE72132,GPL6885
GSE72133,GPL1261
GSE72136,GPL13112
GSE72139,GPL6887
GSE72141,GPL11154
GSE72148,GPL13112
GSE7215,GPL1708
GSE72151,GPL6246
GSE72152,GPL16686
GSE72156,GPL11154
GSE72158,GPL10558
GSE72162,GPL6246
GSE72163,GPL10558
GSE72164,GPL13112
GSE72165,GPL9250
GSE72167,GPL15207
GSE72176,GPL6246
GSE72178,GPL13112
GSE72179,GPL16570
GSE72180,GPL10558
GSE72190,GPL6246
GSE72200,GPL1261
GSE72205,GPL8432
GSE72206,GPL11202
GSE72214,GPL6246
GSE7222,GPL890
GSE72226,GPL10558
GSE72227,GPL6885
GSE72229,GPL10558
GSE72238,GPL13112
GSE7224,GPL570
GSE72246,GPL19571
GSE72258,GPL10558
GSE72259,GPL16791
GSE72267,GPL571
GSE72268,GPL16791
GSE72289,GPL10558
GSE72292,GPL6480
GSE72297,GPL10558
GSE72301,GPL1261
GSE72304,GPL10332
GSE72317,GPL1261
GSE72319,GPL570
GSE72320,GPL570
GSE72323,GPL570
GSE72324,GPL10558
GSE72333,GPL10332
GSE7234,GPL570
GSE72341,GPL9185
GSE72344,GPL20844
GSE72351,GPL17400
GSE72353,GPL6244
GSE72355,GPL6244
GSE7236,GPL201
GSE72361,GPL6247
GSE72362,GPL570
GSE72369,GPL17021
GSE72371,GPL6947
GSE72372,GPL6947
GSE72373,GPL6947
GSE72375,GPL10558
GSE72377,GPL10558
GSE72384,GPL17692
GSE72387,GPL16985
GSE72392,GPL17400
GSE72396,GPL16686
GSE72398,GPL570
GSE72402,GPL9250
GSE72403,GPL13112
GSE72404,GPL11154
GSE72406,GPL1261
GSE72407,GPL11154
GSE72408,GPL17543
GSE72414,GPL10332
GSE72415,GPL10332
GSE72433,GPL14951
GSE72435,GPL17791
GSE72442,GPL13112
GSE72449,GPL7202
GSE7246,GPL887
GSE72460,GPL16791
GSE72468,GPL11154
GSE72480,GPL13112
GSE72482,GPL11154
GSE72483,GPL11154
GSE72489,GPL1261
GSE72490,GPL5175
GSE72491,GPL17021
GSE72494,GPL19057
GSE72496,GPL18802
GSE72497,GPL13667
GSE72501,GPL16791
GSE72504,GPL13912
GSE72518,GPL1261
