GSE_ID,GPL_ID
GSE39528,GPL10558
GSE39529,GPL6096
GSE39534,GPL11533
GSE39535,GPL4134
GSE39541,GPL4134
GSE39544,GPL4134
GSE39545,GPL4134
GSE39550,GPL6887
GSE39553,GPL13730
GSE39563,GPL4134
GSE39564,GPL10558
GSE39580,GPL6480
GSE39581,GPL6480
GSE39591,GPL6246
GSE3960,GPL8300
GSE39605,GPL9250
GSE39615,GPL16686
GSE39619,GPL13112
GSE39622,GPL6887
GSE39623,GPL6947
GSE39624,GPL6246
GSE39625,GPL6883
GSE39628,GPL14550
GSE39634,GPL6246
GSE39651,GPL6096
GSE39652,GPL9250
GSE39653,GPL10558
GSE39656,GPL11002
GSE39657,GPL13112
GSE39669,GPL6246
GSE39670,GPL6246
GSE39681,GPL6480
GSE39682,GPL11154
GSE39686,GPL11154
GSE39689,GPL6845
GSE39691,GPL13667
GSE39692,GPL6887
GSE39693,GPL15207
GSE39694,GPL13667
GSE39706,GPL8321
GSE39709,GPL6102
GSE39729,GPL14550
GSE39733,GPL570
GSE39735,GPL6244
GSE39743,GPL5175
GSE39744,GPL570
GSE39747,GPL15868
GSE39756,GPL9185
GSE39761,GPL13607
GSE39763,GPL570
GSE39768,GPL13607
GSE39779,GPL11180
GSE39786,GPL570
GSE39791,GPL10558
GSE39795,GPL6244
GSE39803,GPL1261
GSE39810,GPL15069
GSE39812,GPL13112
GSE39813,GPL2995
GSE39816,GPL570
GSE39821,GPL11154
GSE39823,GPL6883
GSE39826,GPL6244
GSE39828,GPL6480
GSE39838,GPL570
GSE39843,GPL570
GSE39850,GPL1355
GSE39864,GPL8321
GSE39870,GPL571
GSE39876,GPL10558
GSE39878,GPL11154
GSE39881,GPL11533
GSE39884,GPL13112
GSE39888,GPL6246
GSE39889,GPL570
GSE39896,GPL6947
GSE39899,GPL13607
GSE39902,GPL570
GSE39904,GPL570
GSE39911,GPL13304
GSE39915,GPL4134
GSE39916,GPL1261
GSE39918,GPL13112
GSE39919,GPL6947
GSE39923,GPL570
GSE3994,GPL339
GSE39946,GPL6246
GSE39948,GPL15338
GSE3995,GPL4295
GSE39954,GPL6104
GSE39966,GPL6246
GSE39973,GPL6246
GSE39976,GPL571
GSE3998,GPL570
GSE39980,GPL14797
GSE39985,GPL1261
GSE39989,GPL1261
GSE39991,GPL13158
GSE39995,GPL5175
GSE39999,GPL570
