"GSE_ID","GPL_ID"
"GSE52594","GPL13112"
"GSE52597","GPL1261"
"GSE52598","GPL11180"
"GSE52602","GPL4133"
"GSE52603","GPL1355"
"GSE52604","GPL6480"
"GSE52609","GPL10558"
"GSE52611","GPL13497"
"GSE52616","GPL13112"
"GSE52627","GPL10558"
"GSE52631","GPL6887"
"GSE52636","GPL11533"
"GSE52638","GPL6244"
"GSE52639","GPL11533"
"GSE52647","GPL6244"
"GSE52656","GPL11154"
"GSE52659","GPL570"
"GSE52660","GPL10558"
"GSE52666","GPL10999"
"GSE52667","GPL1261"
"GSE52674","GPL570"
"GSE52686","GPL1261"
"GSE52694","GPL10558"
"GSE52702","GPL6246"
"GSE52707","GPL570"
"GSE52708","GPL17077"
"GSE52712","GPL570"
"GSE52734","GPL17301"
"GSE52735","GPL570"
"GSE52742","GPL11154"
"GSE52748","GPL17997"
"GSE52771","GPL7202"
"GSE52774","GPL6480"
"GSE52794","GPL1261"
"GSE52797","GPL1261"
"GSE52809","GPL13112"
"GSE52810","GPL17077"
"GSE52816","GPL17400"
"GSE52817","GPL6244"
"GSE52818","GPL17400"
"GSE52819","GPL6244"
"GSE52825","GPL6887"
"GSE52827","GPL6246"
"GSE52838","GPL6246"
"GSE52850","GPL6480"
"GSE52851","GPL10332"
"GSE52854","GPL15103"
"GSE52856","GPL13112"
"GSE5287","GPL96"
"GSE52870","GPL13112"
"GSE52882","GPL6244"
"GSE52889","GPL570"
"GSE52890","GPL6885"
"GSE52892","GPL570"
"GSE52897","GPL1355"
"GSE52912","GPL11154"
"GSE52915","GPL570"
"GSE52921","GPL13667"
"GSE52925","GPL16570"
"GSE52926","GPL13730"
"GSE52929","GPL11533"
"GSE52931","GPL10558"
"GSE52933","GPL10558"
"GSE52937","GPL16791"
"GSE52942","GPL6480"
"GSE52946","GPL11154"
"GSE52957","GPL13112"
"GSE5297","GPL1261"
"GSE52974","GPL13112"
"GSE52975","GPL9115"
"GSE52982","GPL11180"
"GSE52992","GPL1261"
"GSE52998","GPL570"
"GSE52999","GPL6947"
"GSE5300","GPL339"
"GSE53001","GPL13112"
"GSE53028","GPL6101"
"GSE53032","GPL18029"
"GSE53036","GPL4134"
"GSE53049","GPL10558"
"GSE53050","GPL570"
"GSE53053","GPL17021"
"GSE53054","GPL1261"
"GSE53056","GPL6246"
"GSE53059","GPL570"
"GSE53061","GPL6887"
"GSE53066","GPL11154"
"GSE53079","GPL18029"
"GSE5309","GPL1261"
"GSE53092","GPL570"
"GSE53098","GPL11002"
"GSE53104","GPL4133"
"GSE53105","GPL13112"
"GSE53106","GPL1261"
"GSE53107","GPL1261"
"GSE53108","GPL11180"
"GSE53115","GPL6884"
"GSE53116","GPL13607"
"GSE53117","GPL18034"
"GSE53123","GPL5188"
