GSE_ID,GPL_ID,SRR_ID
GSE140420,GPL19482,SRR10447040 SRR10447041 SRR10447042 SRR10447043 SRR10447044 SRR10447045 SRR10447046 SRR10447047 SRR10447048 SRR10447049 SRR10447050 SRR10447051 SRR10447052 SRR10447053 SRR10447054 SRR10447056 SRR10447057 SRR10447058 SRR10447059 SRR10447060 SRR10447061 SRR10447062 SRR10447063 SRR10447064 SRR10447065 SRR10447066 SRR10447067 SRR10447068 SRR10447069 SRR10447071 SRR10447072 SRR10447073 SRR10447074 SRR10447075 SRR10447077 SRR10447078 SRR10447079 SRR10447080 SRR10447081 SRR10447082 SRR10447083 SRR10447084 SRR10447085 SRR10447086 SRR10447087
GSE140420,GPL27757,SRR10447055 SRR10447070 SRR10447076 SRR10447089 SRR10447090 SRR10447091 SRR10447092 SRR10447093 SRR10447094 SRR10447095 SRR10447096 SRR10447097 SRR10447098 SRR10447099 SRR10447100 SRR10447101 SRR10447102 SRR10447103 SRR10447104 SRR10447105 SRR10447106 SRR10447107 SRR10447108 SRR10447109 SRR10447110 SRR10447111 SRR10447112 SRR10447113 SRR10447114 SRR10447115 SRR10447116 SRR10447117 SRR10447118 SRR10447119 SRR10447120 SRR10447121 SRR10447122 SRR10447123 SRR10447124
GSE140598,GPL14844,SRR10487019 SRR10487020 SRR10487021 SRR10487022 SRR10487023 SRR10487024 SRR10487025 SRR10487026 SRR10487027 SRR10487028 SRR10487029 SRR10487030 SRR10487031 SRR10487032 SRR10487033 SRR10487034 SRR10487035 SRR10487036
GSE140597,GPL14844,SRR10487047 SRR10487048 SRR10487049 SRR10487050 SRR10487051 SRR10487052 SRR10487053 SRR10487054
GSE142087,GPL11282,SRR10702886 SRR10702887 SRR10702888 SRR10702889 SRR10702890 SRR10702891 SRR10702892 SRR10702893 SRR10702894 SRR10702895
GSE142364,GPL20084,SRR10741075 SRR10741076 SRR10741077 SRR10741078 SRR10741079 SRR10741080 SRR10741081 SRR10741082 SRR10741083
GSE142366,GPL20084,SRR10741075 SRR10741076 SRR10741077 SRR10741078 SRR10741079 SRR10741080 SRR10741081 SRR10741082 SRR10741083
GSE142476,GPL18694,SRR10752345 SRR10752346 SRR10752347 SRR10752348 SRR10752349 SRR10752350 SRR10752351 SRR10752352 SRR10752353
GSE142478,GPL18694,SRR10752354 SRR10752355 SRR10752356 SRR10752357 SRR10752358 SRR10752359 SRR10752360 SRR10752361 SRR10752362 SRR10752363 SRR10752364 SRR10752365 SRR10752366 SRR10752367 SRR10752368 SRR10752369 SRR10752370 SRR10752371 SRR10752372 SRR10752373 SRR10752374 SRR10752375 SRR10752376 SRR10752377 SRR10752378 SRR10752379 SRR10752380 SRR10752381 SRR10752382 SRR10752383 SRR10752384 SRR10752385 SRR10752386 SRR10752387 SRR10752388 SRR10752389 SRR10752390 SRR10752391 SRR10752392 SRR10752393
GSE142541,GPL25947,SRR10760763 SRR10760764
GSE142617,GPL22396,SRR10768928 SRR10768929 SRR10768930 SRR10768931 SRR10768932 SRR10768933
GSE143327,GPL24688,SRR10854618 SRR10854619 SRR10854620 SRR10854621 SRR10854622 SRR10854623
GSE143751,GPL19052,SRR10900608 SRR10900609 SRR10900610 SRR10900611 SRR10900612 SRR10900613 SRR10900614 SRR10900615 SRR10900616 SRR10900617 SRR10900618 SRR10900619
GSE143895,GPL23945,SRR10910874 SRR10910875 SRR10910876 SRR10910877 SRR10910878
GSE144027,GPL22396,SRR10920082 SRR10920083
GSE144276,GPL14844,SRR10969424 SRR10969425 SRR10969426 SRR10969427 SRR10969428 SRR10969429
GSE144548,GPL24688,SRR10990565 SRR10990566 SRR10990567 SRR10990568 SRR10990569 SRR10990570 SRR10990571 SRR10990572 SRR10990573 SRR10990574 SRR10990575 SRR10990576 SRR10990577 SRR10990578 SRR10990579 SRR10990580 SRR10990581 SRR10990582
GSE144606,GPL20084,SRR10994811 SRR10994812 SRR10994813 SRR10994814 SRR10994815 SRR10994816 SRR10994817 SRR10994818 SRR10994819 SRR10994820 SRR10994821 SRR10994822
GSE144219,GPL18694,SRR11026115 SRR11026116 SRR11026117 SRR11026118 SRR11026119 SRR11026120 SRR11026121 SRR11026122 SRR11026123 SRR11026124 SRR11026125 SRR11026126 SRR11026127 SRR11026128 SRR11026129 SRR11026130 SRR11026131 SRR11026132 SRR11026133 SRR11026134
GSE144974,GPL18694,SRR11044151 SRR11044152 SRR11044153 SRR11044154
GSE145167,GPL20084,SRR11073233 SRR11073234 SRR11073235 SRR11073236 SRR11073237 SRR11073238
GSE145431,GPL14844,SRR11100017 SRR11100018 SRR11100019 SRR11100020 SRR11100021 SRR11100022
GSE145504,GPL23945,SRR11107303 SRR11107304 SRR11107305 SRR11107306 SRR11107307 SRR11107308 SRR11107309 SRR11107310
GSE145882,GPL25947,SRR11177838 SRR11177839 SRR11177840 SRR11177841 SRR11177842 SRR11177843
GSE146493,GPL18694,SRR11249235 SRR11249236 SRR11249237 SRR11249238 SRR11249239 SRR11249240 SRR11249241 SRR11249242 SRR11249243
GSE146891,GPL11282,SRR11296707 SRR11296708 SRR11296709 SRR11296710 SRR11296711 SRR11296712 SRR11296713 SRR11296714 SRR11296715
GSE146976,GPL18694,SRR11306046 SRR11306047 SRR11306048 SRR11306049 SRR11306050 SRR11306051 SRR11306052 SRR11306053 SRR11306054 SRR11306055 SRR11306056 SRR11306057 SRR11306058 SRR11306059 SRR11306060 SRR11306061 SRR11306062 SRR11306063 SRR11306064 SRR11306065 SRR11306066 SRR11306067 SRR11306068 SRR11306069 SRR11306070 SRR11306071 SRR11306072 SRR11306073 SRR11306074 SRR11306075 SRR11306076 SRR11306077 SRR11306078 SRR11306079 SRR11306080 SRR11306081 SRR11306082 SRR11306083 SRR11306084 SRR11306085
GSE147073,GPL20084,SRR11316009 SRR11316010 SRR11316011 SRR11316012
