GSE_ID,GPL_ID,SRR_ID
GSE51769,GPL15520,SRR1019396 SRR1019397 SRR1019398 SRR1019399 SRR1019400 SRR1019401 SRR1019402 SRR1019403 SRR1019404 SRR1019405 SRR1019406 SRR1019407 SRR1019408 SRR1019409 SRR1019410 SRR1019411 SRR1019412 SRR1019413 SRR1019414 SRR1019415
GSE52257,GPL11154,SRR1028024
GSE52314,GPL10999,SRR1028926 SRR1028927 SRR1028928 SRR1028929 SRR1028930 SRR1028932 SRR1028933 SRR1028934 SRR1028935
GSE52503,GPL11154,SRR1032214
GSE52575,GPL11154,SRR1033840 SRR1033841
GSE52981,GPL15520,SRR1042915 SRR1042916 SRR1042917
GSE53184,GPL9115,SRR1046759
GSE53439,GPL9115,SRR1054203 SRR1054204 SRR1054205 SRR1054206 SRR1054207 SRR1054208 SRR1054209 SRR1054210 SRR1054211 SRR1054212 SRR1054213 SRR1054214 SRR1054215 SRR1054216 SRR1054217 SRR1054218 SRR1054219 SRR1054220 SRR1054221 SRR1054222 SRR1054223 SRR1054224 SRR1054225 SRR1054226
GSE53451,GPL11154,SRR1054269 SRR1054270 SRR1054271 SRR1054272 SRR1054273 SRR1054274 SRR1054275 SRR1054276 SRR1054277 SRR1054278 SRR1054279 SRR1054280 SRR1054281 SRR1054282
GSE54922,GPL15520,SRR1168261 SRR1168262 SRR1168263 SRR1168264 SRR1168265 SRR1168266 SRR1168267 SRR1168268 SRR1168269 SRR1168270 SRR1168271 SRR1168272 SRR1168273 SRR1168274 SRR1168276 SRR1168278 SRR1168279 SRR1168280 SRR1168281 SRR1168282 SRR1168284 SRR1168285 SRR1168287
GSE56016,GPL11154,SRR1199126
GSE56134,GPL10999,SRR1202344 SRR1202345 SRR1202346 SRR1202348 SRR1202349 SRR1202350 SRR1202351 SRR1202352 SRR1202353 SRR1202354 SRR1202355 SRR1202356 SRR1202357 SRR1202358 SRR1202359 SRR1202360 SRR1202361 SRR1202362 SRR1202363 SRR1202364 SRR1202365
GSE56134,GPL18460,SRR1202347
GSE56354,GPL9442,SRR1209512 SRR1209513 SRR1209514 SRR1209515 SRR1209516 SRR1209517 SRR1209518 SRR1209519 SRR1209520 SRR1209521 SRR1209522 SRR1209523 SRR1209524 SRR1209525 SRR1209526 SRR1209527 SRR1209528 SRR1209529 SRR1209530 SRR1209531 SRR1209532 SRR1209533 SRR1209534 SRR1209535 SRR1209536 SRR1209537 SRR1209538 SRR1209539 SRR1209540
GSE56614,GPL16791,SRR1223406 SRR1223407 SRR1223408 SRR1223409
GSE57222,GPL16791,SRR1266876
GSE57295,GPL10999,SRR1270153
GSE57666,GPL9115,SRR1287012
GSE57681,GPL15520,SRR1287034 SRR1287035 SRR1287036 SRR1287037 SRR1287038 SRR1287039 SRR1287040 SRR1287041 SRR1287042 SRR1287043 SRR1287044
GSE57862,GPL11154,SRR1293902
GSE57862,GPL15520,SRR1293901
